CompanyCode,StockShortName,Shariah,Sector,CompanyFullName,Date
9016,EKSONS,No,Wood & Wood Products ,EKSONS CORPORATION BERHAD,20210704
5228,ELKDESA,No,Other Financials ,ELK-DESA RESOURCES BERHAD,20210704
0090,ELSOFT,Yes,Technology Equipment ,ELSOFT RESEARCH BERHAD,20210704
7217,EMETALL,Yes,Metals ,EONMETALL GROUP BERHAD,20210704
9091,EMICO,Yes,Consumer Services ,EMICO HOLDINGS BERHAD,20210704
6076,ENCORP,Yes,Property ,ENCORP BERHAD,20210704
03025,ENEST,Yes,Consumer Services ,ENEST GROUP BERHAD,20210704
7149,ENGKAH,Yes,Household Goods ,ENG KAH CORPORATION BERHAD,20210704
5056,ENGTEX,Yes,Metals ,ENGTEX GROUP BERHAD,20210704
8613,ENRA,Yes,Property ,ENRA GROUP BERHAD,20210704
7773,EPMB,Yes,Auto Parts ,EP MANUFACTURING BHD,20210704
0190,ESAFE,Yes,Auto Parts ,EVERSAFE RUBBER BERHAD,20210704
0100,ESCERAM,No,"Industrial Materials, Components & Equipment ",ES CERAMICS TECHNOLOGY BHD,20210704
03021,ETH,No,Consumer Services ,EQUITIESTRACKER HOLDINGS BERHAD,20210704
6815,EUPE,Yes,Property ,EUPE CORPORATION BERHAD,20210704
7208,EURO,Yes,Consumer Services ,EURO HOLDINGS BERHAD,20210704
7094,EUROSP,Yes,Household Goods ,EUROSPAN HOLDINGS BERHAD,20210704
5101,EVERGRN,Yes,Wood & Wood Products ,EVERGREEN FIBREBOARD BERHAD,20210704
7249,EWEIN,Yes,Property ,EWEIN BERHAD,20210704
5283,EWINT,Yes,Property ,ECO WORLD INTERNATIONAL BERHAD,20210704
3689,F&N,Yes,Food & Beverages ,FRASER & NEAVE HOLDINGS BHD,20210704
2984,FACBIND,No,Metals ,FACB INDUSTRIES INCORPORATED BERHAD,20210704
7047,FAJAR,Yes,Construction ,FAJARBARU BUILDER GROUP BHD,20210704
5029,FAREAST,Yes,Plantation ,FAR EAST HOLDINGS BERHAD,20210704
6041,FARLIM,No,Property ,FARLIM GROUP (MALAYSIA) BHD,20210704
7229,FAVCO,Yes,Industrial Engineering ,FAVELLE FAVCO BERHAD,20210704
03026,FBBHD,Yes,Industrial Services ,FIBROMAT (M) BERHAD,20210704
2755,FCW,No,Household Goods ,FCW HOLDINGS BERHAD,20210704
5222,FGV,Yes,Plantation ,FGV HOLDINGS BERHAD,20210704
6939,FIAMMA,Yes,Household Goods ,FIAMMA HOLDINGS BERHAD,20210704
0149,FIBON,No,"Industrial Materials, Components & Equipment ",FIBON BERHAD,20210704
8605,FIHB,Yes,Household Goods ,FEDERAL INTERNATIONAL HOLDINGS BERHAD,20210704
3107,FIMACOR,Yes,Industrial Services ,FIMA CORPORATION BERHAD,20210704
0150,FINTEC,No,Other Financials ,FINTEC GLOBAL BERHAD,20210704
9318,FITTERS,Yes,"Industrial Materials, Components & Equipment ",FITTERS DIVERSIFIED BERHAD,20210704
5197,FLBHD,No,Wood & Wood Products ,FOCUS LUMBER BERHAD,20210704
0231,FLEXI,Yes,Industrial Services ,FLEXIDYNAMIC HOLDINGS BERHAD,20210704
0116,FOCUS,No,"Travel, Leisure & Hospitality ",FOCUS DYNAMICS GROUP BERHAD,20210704
0157,FOCUSP,Yes,Personal Goods ,FOCUS POINT HOLDINGS BERHAD,20210704
5277,FPGROUP,Yes,"Industrial Materials, Components & Equipment ",FOUNDPAC GROUP BERHAD,20210704
9172,FPI,Yes,Household Goods ,FORMOSA PROSONIC INDUSTRIES BERHAD,20210704
7210,FREIGHT,Yes,Transportation & Logistics Services ,FREIGHT MANAGEMENT HOLDINGS BERHAD,20210704
0128,FRONTKN,Yes,Semiconductors ,FRONTKEN CORPORATION BERHAD,20210704
9377,FSBM,Yes,Technology Equipment ,FSBM HOLDINGS BERHAD,20210704
7184,G3,Yes,Personal Goods ,G3 GLOBAL BERHAD,20210704
